trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.95, 'e': 0.95}",30,9,-112.32377030357586,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 1}",1
2,False,"{'a': 0.95, 'e': 0.8999999999999999}",20,-100,-640.1711397047443,"{0: 78, 1: 14, 2: 10, 3: 7, 4: 11}",0
3,False,"{'a': 0.95, 'e': 0.8499999999999999}",20,-100,-580.1916311643927,"{0: 81, 1: 7, 2: 18, 3: 4, 4: 10}",0
4,False,"{'a': 0.95, 'e': 0.7999999999999998}",25,-100,-279.3931241985813,"{0: 91, 1: 8, 2: 22, 3: 0, 4: 4}",0
5,False,"{'a': 0.95, 'e': 0.7499999999999998}",25,-4,-135.3042617080542,"{0: 17, 1: 0, 2: 9, 3: 2, 4: 1}",0
6,False,"{'a': 0.95, 'e': 0.6999999999999997}",20,-16,-70.94974723709186,"{0: 28, 1: 3, 2: 2, 3: 2, 4: 1}",0
7,False,"{'a': 0.95, 'e': 0.6499999999999997}",20,-8,-91.22017499480893,"{0: 21, 1: 1, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.95, 'e': 0.5999999999999996}",25,15,-12.375565798190967,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.95, 'e': 0.5499999999999996}",25,-7,3.046781105084785,"{0: 26, 1: 3, 2: 3, 3: 0, 4: 0}",0
10,False,"{'a': 0.95, 'e': 0.4999999999999996}",20,-7,-28.778571596364912,"{0: 23, 1: 0, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.95, 'e': 0.4499999999999996}",25,-6,2.762167146549511,"{0: 27, 1: 1, 2: 2, 3: 1, 4: 0}",0
12,False,"{'a': 0.95, 'e': 0.39999999999999963}",20,7,-29.475454619316896,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
13,False,"{'a': 0.95, 'e': 0.34999999999999964}",20,-42,-102.97091543670187,"{0: 52, 1: 2, 2: 4, 3: 1, 4: 3}",0
14,False,"{'a': 0.95, 'e': 0.29999999999999966}",25,15,15.796221286583428,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.95, 'e': 0.24999999999999967}",20,8,-116.34484623306582,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 3}",1
16,False,"{'a': 0.95, 'e': 0.19999999999999968}",25,7,-23.140351471159228,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
17,False,"{'a': 0.95, 'e': 0.1499999999999997}",20,12,13.909936132782754,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.95, 'e': 0.09999999999999969}",25,-16,44.92852472745535,"{0: 39, 1: 0, 2: 1, 3: 1, 4: 0}",0
19,False,"{'a': 0.95, 'e': 0.049999999999999684}",20,2,35.2994151276186,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.95, 'e': -3.191891195797325e-16}",30,10,17.057495203905656,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,10,20.169039512085288,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,13,5.157246991175891,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,14,17.777589249051054,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,18,12.989717342241015,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",35,17,37.1832583104795,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,7,35.57217409476418,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,11,31.718787798975566,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,13,13.82787981587914,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,12,23.18414942141792,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,11,33.4215442995123,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
