trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 1.0}",30,0,-95.32676761895657,"{0: 19, 1: 2, 2: 7, 3: 2, 4: 0}",0
2,False,"{'a': 0.01, 'e': 0.7071067811865475}",25,0,-148.6538320733569,"{0: 17, 1: 0, 2: 3, 3: 3, 4: 2}",0
3,False,"{'a': 0.01, 'e': 0.5773502691896258}",20,0,-49.31331857505939,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.01, 'e': 0.5}",25,0,-97.03183749864507,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.01, 'e': 0.4472135954999579}",30,0,-136.71368298903522,"{0: 22, 1: 1, 2: 4, 3: 0, 4: 3}",0
6,False,"{'a': 0.01, 'e': 0.4082482904638631}",20,5,-19.509754560221133,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,False,"{'a': 0.01, 'e': 0.3779644730092272}",25,0,-57.14392779812281,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
8,False,"{'a': 0.01, 'e': 0.35355339059327373}",20,0,-36.228038072150305,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.3333333333333333}",20,0,-21.61934186133984,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.31622776601683794}",25,2,-107.00805505139274,"{0: 16, 1: 0, 2: 3, 3: 3, 4: 1}",1
11,False,"{'a': 0.01, 'e': 0.30151134457776363}",20,0,-130.41903323215922,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
12,False,"{'a': 0.01, 'e': 0.2886751345948129}",25,9,-24.61539164850862,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
13,False,"{'a': 0.01, 'e': 0.2773500981126146}",20,11,14.296596801855829,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.01, 'e': 0.2672612419124244}",20,5,-40.743258055039554,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 1}",1
15,False,"{'a': 0.01, 'e': 0.2581988897471611}",20,0,-26.07928724929745,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
16,False,"{'a': 0.01, 'e': 0.25}",25,0,-34.712222942531405,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.01, 'e': 0.24253562503633297}",25,0,-23.824170213366948,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
18,False,"{'a': 0.01, 'e': 0.23570226039551587}",25,0,-47.60894109933357,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
19,False,"{'a': 0.01, 'e': 0.22941573387056174}",25,17,6.5750131306572355,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.01, 'e': 0.22360679774997896}",30,10,-21.611796459637976,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",1
21,False,"{'a': 0.01, 'e': 0.2182178902359924}",20,0,4.406957837938532,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
22,False,"{'a': 0.01, 'e': 0.21320071635561041}",30,17,10.986596230523759,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
23,False,"{'a': 0.01, 'e': 0.20851441405707477}",25,16,4.312058518348492,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.01, 'e': 0.20412414523193154}",20,0,-23.23917267169542,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
25,False,"{'a': 0.01, 'e': 0.2}",25,13,-2.399107038848081,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
26,False,"{'a': 0.01, 'e': 0.19611613513818404}",20,0,3.7507598880826825,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
27,False,"{'a': 0.01, 'e': 0.19245008972987526}",20,0,-27.926655277703198,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
28,False,"{'a': 0.01, 'e': 0.1889822365046136}",30,4,-12.73251565084096,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 1}",1
29,False,"{'a': 0.01, 'e': 0.18569533817705186}",25,0,-26.65440790106323,"{0: 21, 1: 3, 2: 0, 3: 0, 4: 1}",0
30,False,"{'a': 0.01, 'e': 0.18257418583505536}",20,15,8.210674436690045,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.01, 'e': 0.1796053020267749}",20,0,16.79353265608003,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
32,False,"{'a': 0.01, 'e': 0.17677669529663687}",35,20,-62.034529354432586,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 2}",1
33,False,"{'a': 0.01, 'e': 0.17407765595569785}",25,0,-50.21794594227224,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
34,False,"{'a': 0.01, 'e': 0.17149858514250882}",25,0,37.13314989181284,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
35,False,"{'a': 0.01, 'e': 0.1690308509457033}",20,2,2.8380831590407376,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
36,False,"{'a': 0.01, 'e': 0.16666666666666666}",25,3,7.77647383842475,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
37,False,"{'a': 0.01, 'e': 0.1643989873053573}",30,13,-25.985160622568827,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
38,False,"{'a': 0.01, 'e': 0.16222142113076254}",30,19,11.40157432294003,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.01, 'e': 0.16012815380508713}",20,12,3.9622935515355717,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
40,False,"{'a': 0.01, 'e': 0.15811388300841897}",30,16,20.446529272732647,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.01, 'e': 0.15617376188860607}",25,4,26.47224617649054,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.01, 'e': 0.1543033499620919}",25,15,-23.683672320883293,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
43,False,"{'a': 0.01, 'e': 0.15249857033260467}",25,13,-46.09063829410489,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
44,False,"{'a': 0.01, 'e': 0.15075567228888181}",25,10,23.396792110325453,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.01, 'e': 0.14907119849998599}",30,0,-54.54572180392422,"{0: 26, 1: 2, 2: 0, 3: 0, 4: 2}",0
46,False,"{'a': 0.01, 'e': 0.14744195615489714}",30,19,18.205341255285056,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.01, 'e': 0.14586499149789456}",20,8,-19.200825475199412,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
48,False,"{'a': 0.01, 'e': 0.14433756729740646}",35,25,15.251455561788873,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.01, 'e': 0.14285714285714285}",20,0,31.49511878748988,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
50,False,"{'a': 0.01, 'e': 0.1414213562373095}",25,13,18.582936619754925,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.01, 'e': 0.14002800840280097}",20,0,25.413957237090578,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
52,False,"{'a': 0.01, 'e': 0.1386750490563073}",25,0,22.668898170042578,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
53,False,"{'a': 0.01, 'e': 0.13736056394868904}",20,13,12.177882548271423,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.01, 'e': 0.13608276348795434}",20,0,27.19812953217141,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
55,False,"{'a': 0.01, 'e': 0.13483997249264842}",20,11,17.13583221237366,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.01, 'e': 0.1336306209562122}",25,16,-18.860203640562386,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
57,False,"{'a': 0.01, 'e': 0.13245323570650439}",25,13,8.909733498888894,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
58,False,"{'a': 0.01, 'e': 0.13130643285972254}",25,11,20.262447180521743,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.01, 'e': 0.13018891098082389}",25,5,20.873998371410487,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.01, 'e': 0.12909944487358055}",25,0,-16.043277144601976,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
61,False,"{'a': 0.01, 'e': 0.12803687993289598}",25,0,26.319441817090976,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.01, 'e': 0.1270001270001905}",30,0,-2.5737791358055357,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
63,False,"{'a': 0.01, 'e': 0.1259881576697424}",25,0,2.7094917156030727,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
64,False,"{'a': 0.01, 'e': 0.125}",35,18,16.951003198259354,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.01, 'e': 0.12403473458920847}",30,12,16.27567836729165,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.01, 'e': 0.12309149097933272}",30,24,11.456866674309184,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.01, 'e': 0.12216944435630522}",25,0,-30.1668644207247,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
68,False,"{'a': 0.01, 'e': 0.12126781251816648}",20,0,-58.21036570504992,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
69,False,"{'a': 0.01, 'e': 0.1203858530857692}",25,0,-0.21002227397462048,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
70,False,"{'a': 0.01, 'e': 0.11952286093343936}",20,14,6.889149851276175,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.01, 'e': 0.11867816581938533}",20,0,19.42830894881134,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
72,False,"{'a': 0.01, 'e': 0.11785113019775793}",20,0,28.060820866940578,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
73,False,"{'a': 0.01, 'e': 0.11704114719613057}",20,11,5.149044704761719,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.01, 'e': 0.11624763874381928}",20,15,-0.6437294954477886,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.01, 'e': 0.11547005383792514}",25,9,18.91477129007422,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.01, 'e': 0.11470786693528087}",20,0,20.914455692649305,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
77,False,"{'a': 0.01, 'e': 0.11396057645963795}",20,15,-3.201686170941834,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.01, 'e': 0.11322770341445956}",20,13,14.380533337335555,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.01, 'e': 0.1125087900926024}",25,9,14.520309873910488,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.01, 'e': 0.11180339887498948}",20,0,10.916765468744067,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
81,False,"{'a': 0.01, 'e': 0.1111111111111111}",20,14,7.912131154742126,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.01, 'e': 0.11043152607484653}",20,2,16.90619270918257,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.01, 'e': 0.10976425998969035}",25,8,30.889821047773363,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.01, 'e': 0.1091089451179962}",20,0,-24.41713346261515,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
85,False,"{'a': 0.01, 'e': 0.10846522890932808}",30,17,27.737721918560187,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.01, 'e': 0.10783277320343841}",25,15,19.114299280157546,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.01, 'e': 0.10721125348377948}",25,11,16.5703296703523,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.01, 'e': 0.10660035817780521}",25,8,26.52264999612143,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.01, 'e': 0.105999788000636}",25,2,20.061954912440353,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.01, 'e': 0.10540925533894598}",25,11,23.227487536404475,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.01, 'e': 0.10482848367219183}",25,12,20.0603119400518,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.01, 'e': 0.10425720702853739}",20,0,29.528558137128776,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
93,False,"{'a': 0.01, 'e': 0.10369516947304253}",20,13,14.378113426757201,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.01, 'e': 0.10314212462587934}",20,3,26.571760419135078,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.01, 'e': 0.10259783520851541}",20,0,31.16327677608241,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
96,False,"{'a': 0.01, 'e': 0.10206207261596577}",25,15,18.88499627764708,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.01, 'e': 0.10153461651336192}",20,1,-19.598553242504316,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
98,False,"{'a': 0.01, 'e': 0.10101525445522107}",20,12,12.319334827367575,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.01, 'e': 0.10050378152592121}",30,19,5.758369781178585,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.01, 'e': 0.1}",30,13,22.31428160671345,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.01, 'e': 0.09950371902099892}",20,6,17.566927699916295,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.01, 'e': 0.09901475429766744}",20,0,-2.0317128437640695,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
103,False,"{'a': 0.01, 'e': 0.09853292781642932}",30,1,30.8175625989424,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.01, 'e': 0.09805806756909202}",20,0,6.245999444202523,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
105,False,"{'a': 0.01, 'e': 0.09759000729485333}",25,0,35.25892517954138,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
106,False,"{'a': 0.01, 'e': 0.09712858623572641}",20,0,28.333442978903012,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
107,False,"{'a': 0.01, 'e': 0.09667364890456635}",25,10,9.783842750523254,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.01, 'e': 0.09622504486493763}",35,26,13.385016199349304,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.01, 'e': 0.09578262852211514}",25,11,-17.105384368650583,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
110,False,"{'a': 0.01, 'e': 0.09534625892455924}",25,0,34.01221042474536,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
111,False,"{'a': 0.01, 'e': 0.0949157995752499}",20,1,27.984866843824012,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.01, 'e': 0.0944911182523068}",20,6,-0.18966044326157494,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
113,False,"{'a': 0.01, 'e': 0.09407208683835973}",20,7,10.415529555064802,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.01, 'e': 0.0936585811581694}",30,19,-5.9648166920707215,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
115,False,"{'a': 0.01, 'e': 0.09325048082403138}",20,13,12.201063269311103,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.01, 'e': 0.09284766908852593}",25,3,32.18141232642791,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.01, 'e': 0.09245003270420485}",20,5,25.83591996356677,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.01, 'e': 0.09205746178983235}",20,6,18.535041602239815,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.09166984970282113}",25,12,17.970749028646555,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.09128709291752768}",25,0,36.72413613435085,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
121,False,"{'a': 0.01, 'e': 0.09090909090909091}",20,3,17.371419767094718,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.01, 'e': 0.09053574604251853}",25,7,28.802378544656023,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.01, 'e': 0.09016696346674323}",25,0,28.585425779859737,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
124,False,"{'a': 0.01, 'e': 0.08980265101338746}",20,0,11.254785383537401,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
125,False,"{'a': 0.01, 'e': 0.08944271909999159}",30,8,21.912083382235245,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.0890870806374748}",20,0,32.61047300621696,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
127,False,"{'a': 0.01, 'e': 0.08873565094161139}",20,3,13.683452955110404,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.01, 'e': 0.08838834764831843}",20,6,24.153975062207333,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.08804509063256238}",30,22,14.767376623185172,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.01, 'e': 0.08770580193070293}",30,12,-7.056968539778978,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
131,False,"{'a': 0.01, 'e': 0.0873704056661038}",35,2,26.354121632112314,"{0: 32, 1: 0, 2: 0, 3: 1, 4: 0}",1
132,False,"{'a': 0.01, 'e': 0.08703882797784893}",30,10,21.225077859129048,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.086710996952412}",25,0,2.187638302727831,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
