trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.6065306597126334}",20,4,-100.13785442848354,"{0: 7, 1: 2, 2: 4, 3: 3, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.36787944117144233}",25,-100,-644.6882055557253,"{0: 76, 1: 9, 2: 25, 3: 7, 4: 8}",0
3,False,"{'a': 0.5, 'e': 0.22313016014842982}",20,-100,-520.5234304307043,"{0: 72, 1: 16, 2: 24, 3: 1, 4: 7}",0
4,False,"{'a': 0.5, 'e': 0.1353352832366127}",25,-23,-324.00411572147283,"{0: 25, 1: 5, 2: 10, 3: 4, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.0820849986238988}",20,-44,-250.22116511198757,"{0: 43, 1: 5, 2: 11, 3: 1, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.049787068367863944}",25,-100,-619.3961597300743,"{0: 77, 1: 8, 2: 24, 3: 10, 4: 6}",0
7,False,"{'a': 0.5, 'e': 0.0301973834223185}",25,-100,-701.6001911458803,"{0: 80, 1: 8, 2: 20, 3: 5, 4: 12}",0
8,False,"{'a': 0.5, 'e': 0.01831563888873418}",25,-62,-306.38285636454646,"{0: 59, 1: 8, 2: 12, 3: 4, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.011108996538242306}",20,-58,-467.34894378105577,"{0: 43, 1: 6, 2: 19, 3: 4, 4: 6}",0
10,False,"{'a': 0.5, 'e': 0.006737946999085467}",30,-100,-577.6732089073066,"{0: 78, 1: 15, 2: 20, 3: 13, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.004086771438464067}",25,-100,-462.0189212707658,"{0: 83, 1: 10, 2: 25, 3: 0, 4: 7}",0
12,False,"{'a': 0.5, 'e': 0.0024787521766663585}",20,-69,-185.71033120117357,"{0: 62, 1: 2, 2: 23, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.0015034391929775724}",20,-100,-644.4479774598856,"{0: 75, 1: 7, 2: 24, 3: 4, 4: 10}",0
14,False,"{'a': 0.5, 'e': 0.0009118819655545162}",30,0,-136.8691677133993,"{0: 16, 1: 6, 2: 4, 3: 3, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.0005530843701478336}",25,-45,-403.9325866291425,"{0: 44, 1: 4, 2: 13, 3: 2, 4: 7}",0
16,False,"{'a': 0.5, 'e': 0.00033546262790251185}",20,-47,-292.119756607273,"{0: 39, 1: 8, 2: 16, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.00020346836901064417}",20,-48,-307.1007778823137,"{0: 45, 1: 7, 2: 9, 3: 1, 4: 6}",0
18,False,"{'a': 0.5, 'e': 0.00012340980408667956}",20,-25,-243.0769537270999,"{0: 29, 1: 4, 2: 7, 3: 0, 4: 5}",0
19,False,"{'a': 0.5, 'e': 7.48518298877006e-05}",25,-48,-351.52003349532004,"{0: 49, 1: 6, 2: 10, 3: 1, 4: 7}",0
20,False,"{'a': 0.5, 'e': 4.5399929762484854e-05}",30,-38,-222.17930598273503,"{0: 45, 1: 4, 2: 15, 3: 2, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",25,-21,-161.4782119556515,"{0: 33, 1: 5, 2: 3, 3: 2, 4: 3}",0
2,True,"{'a': 0, 'e': 0}",20,-71,-342.7102008717271,"{0: 58, 1: 5, 2: 21, 3: 4, 4: 3}",0
3,True,"{'a': 0, 'e': 0}",35,-10,-149.46538603064877,"{0: 27, 1: 8, 2: 5, 3: 5, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,-70,-351.0146928949706,"{0: 59, 1: 10, 2: 13, 3: 3, 4: 5}",0
5,True,"{'a': 0, 'e': 0}",25,-100,-586.28212924435,"{0: 79, 1: 10, 2: 23, 3: 5, 4: 8}",0
6,True,"{'a': 0, 'e': 0}",30,-2,-152.23667956412905,"{0: 22, 1: 1, 2: 6, 3: 0, 4: 3}",0
7,True,"{'a': 0, 'e': 0}",30,-29,-442.41047347328424,"{0: 29, 1: 5, 2: 16, 3: 3, 4: 6}",0
8,True,"{'a': 0, 'e': 0}",25,-100,-851.3292907645308,"{0: 62, 1: 15, 2: 29, 3: 10, 4: 9}",0
9,True,"{'a': 0, 'e': 0}",20,-36,-184.55585568769627,"{0: 32, 1: 10, 2: 12, 3: 1, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,-37,-299.558405563327,"{0: 36, 1: 6, 2: 9, 3: 0, 4: 6}",0
